title,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
Q/A Livestream | February Livestream | Ask Me Anything!,Thursday,Afternoon,5697,5627,188,12.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
Subqueries in MySQL | Intermediate MySQL,Tuesday,Morning,661,130188,2113,269.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Case Statements in MySQL | Intermediate MySQL,Tuesday,Morning,533,116972,2060,239.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",Tuesday,Morning,1485,86081,1031,173.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,Tuesday,Afternoon,4496,13447,474,27.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
String Functions in MySQL | Intermediate MySQL Series,Tuesday,Morning,714,130436,2257,259.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Unions in MySQL | Intermediate MySQL,Tuesday,Morning,442,125614,2264,246.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Joins in MySQL | Intermediate MySQL,Tuesday,Morning,1031,265362,3798,512.0,8.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Is my background in Data Analytics?,Monday,Morning,57,30519,2066,59.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Solving VERY HARD SQL Interview Questions on Analyst Builder,Thursday,Morning,1023,22568,561,44.0,2.0,"['data analyst career', 'data analytics', 'alex the analyst', 'analyst builder', 'analyst builder questions', 'analyst builder courses', 'sql technical interview questions', 'sql interview questions', 'sql questions', 'hard sql interview questions', 'easy sql interview questions', 'medium sql interview questions', 'interview questions', 'technical interview questions', 'technical interview practice', 'sql technical interview practice website', 'website to practice for technical interviews']",0
Solving HARD SQL Interview Questions on Analyst Builder,Tuesday,Morning,1286,30011,618,58.0,2.0,"['data analyst career', 'data analytics', 'alex the analyst', 'analyst builder', 'analyst builder questions', 'analyst builder courses', 'sql technical interview questions', 'sql interview questions', 'sql questions', 'hard sql interview questions', 'easy sql interview questions', 'medium sql interview questions', 'interview questions', 'technical interview questions', 'technical interview practice', 'sql technical interview practice website', 'website to practice for technical interviews']",0
Hard Skills vs Soft Skills,Monday,Morning,30,14971,1026,29.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
