title,published_weekday,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
Data Cleaning in MySQL | Full Project,Tuesday,Tuesday,Morning,3071,303096,6558,709.0,16.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,Tuesday,Tuesday,Morning,3374,9015,283,21.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Triggers and Events in MySQL | Advanced MySQL Series,Tuesday,Tuesday,Morning,882,111649,3588,253.0,9.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to give up on the job search fast,Wednesday,Wednesday,Morning,52,28361,2107,64.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Stored Procedures in MySQL | Advanced MySQL Series,Tuesday,Tuesday,Morning,757,116857,2240,261.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Temp Tables in MySQL | Advanced MySQL Series,Tuesday,Tuesday,Morning,466,78999,1661,174.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
CTEs in MySQL | Advanced MySQL Series,Tuesday,Tuesday,Morning,631,134522,2221,291.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
7 Mistakes to Avoid During Your Data Analyst Job Search,Tuesday,Tuesday,Morning,714,19973,753,43.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Q/A Livestream | February Livestream | Ask Me Anything!,Thursday,Thursday,Afternoon,5697,5627,188,12.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
Subqueries in MySQL | Intermediate MySQL,Tuesday,Tuesday,Morning,661,130188,2113,269.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Case Statements in MySQL | Intermediate MySQL,Tuesday,Tuesday,Morning,533,116972,2060,239.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",Tuesday,Tuesday,Morning,1485,86081,1031,173.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,Tuesday,Tuesday,Afternoon,4496,13447,474,27.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
String Functions in MySQL | Intermediate MySQL Series,Tuesday,Tuesday,Morning,714,130436,2257,259.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Unions in MySQL | Intermediate MySQL,Tuesday,Tuesday,Morning,442,125614,2264,246.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Joins in MySQL | Intermediate MySQL,Tuesday,Tuesday,Morning,1031,265362,3798,512.0,8.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Is my background in Data Analytics?,Monday,Monday,Morning,57,30519,2066,59.0,4.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Solving VERY HARD SQL Interview Questions on Analyst Builder,Thursday,Thursday,Morning,1023,22568,561,44.0,2.0,"['Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Analyst Builder', 'Analyst Builder Questions', 'Analyst Builder Courses', 'SQL Technical Interview Questions', 'SQL Interview Questions', 'SQL Questions', 'hard sql interview questions', 'Easy sql interview questions', 'medium sql interview questions', 'interview questions', 'technical interview questions', 'technical interview practice', 'sql technical interview practice website', 'website to practice for technical interviews']",0
Solving HARD SQL Interview Questions on Analyst Builder,Tuesday,Tuesday,Morning,1286,30011,618,58.0,2.0,"['Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Analyst Builder', 'Analyst Builder Questions', 'Analyst Builder Courses', 'SQL Technical Interview Questions', 'SQL Interview Questions', 'SQL Questions', 'hard sql interview questions', 'Easy sql interview questions', 'medium sql interview questions', 'interview questions', 'technical interview questions', 'technical interview practice', 'sql technical interview practice website', 'website to practice for technical interviews']",0
Hard Skills vs Soft Skills,Monday,Monday,Morning,30,14971,1026,29.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Solving Medium SQL Interview Questions on Analyst Builder,Thursday,Thursday,Morning,744,32980,728,63.0,2.0,"['Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Analyst Builder', 'Analyst Builder Questions', 'Analyst Builder Courses', 'SQL Technical Interview Questions', 'SQL Interview Questions', 'SQL Questions', 'hard sql interview questions', 'Easy sql interview questions', 'medium sql interview questions', 'interview questions', 'technical interview questions', 'technical interview practice', 'sql technical interview practice website', 'website to practice for technical interviews']",0
Solving Easy SQL Interview Questions on Analyst Builder,Tuesday,Tuesday,Morning,738,60062,1334,113.0,3.0,"['Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Analyst Builder', 'Analyst Builder Questions', 'Analyst Builder Courses', 'SQL Technical Interview Questions', 'SQL Interview Questions', 'SQL Questions', 'hard sql interview questions', 'Easy sql interview questions', 'medium sql interview questions', 'interview questions', 'technical interview questions', 'technical interview practice', 'sql technical interview practice website', 'website to practice for technical interviews']",0
